date,city,temperature_c,rainfall_mm,weather_condition
2021-01-01,Benin,30.6,3.7,Rainy
2021-01-02,Benin,26.1,0.0,Sunny
2021-01-03,Benin,30.9,3.4,Rainy
2021-01-04,Benin,30.3,1.1,Cloudy
2021-01-05,Benin,32.4,3.5,Rainy
2021-01-06,Benin,28.7,1.2,Cloudy
2021-01-07,Benin,30.5,4.4,Rainy
2021-01-08,Benin,31.3,0.8,Cloudy
2021-01-09,Benin,30.3,0.0,Sunny
2021-01-10,Benin,31.5,2.3,Cloudy
2021-01-11,Benin,31.8,0.7,Cloudy
2021-01-12,Benin,30.2,0.0,Cloudy
2021-01-13,Benin,28.3,0.0,Sunny
2021-01-14,Benin,27.3,2.8,Cloudy
2021-01-15,Benin,26.7,5.1,Rainy
2021-01-16,Benin,27.4,4.0,Rainy
2021-01-17,Benin,28.6,2.1,Cloudy
2021-01-18,Benin,28.9,4.3,Rainy
2021-01-19,Benin,30.1,3.1,Rainy
2021-01-20,Benin,30.1,1.7,Cloudy
2021-01-21,Benin,30.9,0.0,Sunny
2021-01-22,Benin,28.1,0.0,Sunny
2021-01-23,Benin,30.1,0.0,Cloudy
2021-01-24,Benin,26.8,2.0,Cloudy
2021-01-25,Benin,28.2,0.0,Sunny
2021-01-26,Benin,29.9,0.0,Sunny
2021-01-27,Benin,30.2,4.9,Rainy
2021-01-28,Benin,29.4,0.0,Sunny
2021-01-29,Benin,30.3,0.0,Sunny
2021-01-30,Benin,30.0,1.6,Cloudy
2021-01-31,Benin,29.9,1.1,Cloudy
2021-02-01,Benin,30.3,4.2,Rainy
2021-02-02,Benin,29.6,1.3,Cloudy
2021-02-03,Benin,31.3,1.9,Cloudy
2021-02-04,Benin,29.5,2.8,Cloudy
2021-02-05,Benin,28.7,0.5,Cloudy
2021-02-06,Benin,28.8,2.2,Cloudy
2021-02-07,Benin,31.8,1.4,Cloudy
2021-02-08,Benin,30.1,0.0,Sunny
2021-02-09,Benin,28.9,0.0,Sunny
2021-02-10,Benin,26.7,0.2,Cloudy
2021-02-11,Benin,29.6,5.3,Rainy
2021-02-12,Benin,32.3,2.1,Cloudy
2021-02-13,Benin,33.1,3.8,Rainy
2021-02-14,Benin,27.0,3.1,Rainy
2021-02-15,Benin,31.1,0.4,Cloudy
2021-02-16,Benin,27.9,2.2,Cloudy
2021-02-17,Benin,26.9,1.0,Cloudy
2021-02-18,Benin,29.1,0.0,Sunny
2021-02-19,Benin,31.8,0.9,Cloudy
2021-02-20,Benin,30.3,2.8,Cloudy
2021-02-21,Benin,30.0,1.9,Cloudy
2021-02-22,Benin,31.2,2.1,Cloudy
2021-02-23,Benin,30.4,4.6,Rainy
2021-02-24,Benin,31.9,0.8,Cloudy
2021-02-25,Benin,28.6,2.3,Cloudy
2021-02-26,Benin,30.3,4.4,Rainy
2021-02-27,Benin,31.5,2.5,Cloudy
2021-02-28,Benin,30.0,0.0,Sunny
2021-03-01,Benin,29.7,2.0,Cloudy
2021-03-02,Benin,27.4,3.5,Rainy
2021-03-03,Benin,33.1,0.0,Sunny
2021-03-04,Benin,27.9,1.5,Cloudy
2021-03-05,Benin,29.1,1.5,Cloudy
2021-03-06,Benin,29.9,0.0,Sunny
2021-03-07,Benin,31.9,1.9,Cloudy
2021-03-08,Benin,29.2,4.0,Rainy
2021-03-09,Benin,29.2,0.0,Sunny
2021-03-10,Benin,30.3,1.7,Cloudy
2021-03-11,Benin,30.8,2.4,Cloudy
2021-03-12,Benin,30.8,2.0,Cloudy
2021-03-13,Benin,29.1,0.0,Sunny
2021-03-14,Benin,31.1,1.5,Cloudy
2021-03-15,Benin,31.2,0.0,Sunny
2021-03-16,Benin,29.2,4.8,Rainy
2021-03-17,Benin,30.8,1.6,Cloudy
2021-03-18,Benin,31.1,5.4,Rainy
2021-03-19,Benin,33.0,0.0,Sunny
2021-03-20,Benin,28.2,0.0,Sunny
2021-03-21,Benin,28.9,1.1,Cloudy
2021-03-22,Benin,30.4,0.0,Sunny
2021-03-23,Benin,27.2,0.0,Sunny
2021-03-24,Benin,31.4,3.2,Rainy
2021-03-25,Benin,32.6,0.9,Cloudy
